السنة,الربع,المنطقة,النشاط الاقتصادي,حجم المنشأة,عدد المنشآت,عدد العاملين السعوديين,عدد السعوديين (ذكور),عدد السعوديين (إناث),عدد العاملين الغير سعوديين,عدد الغير سعوديين (ذكور),عدد الغير سعوديين (إناث),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
2023,2,المنطقة الشرقية,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,كبيرة,1.0,255.0,101.0,154.0,108.0,103.0,5.0,,,,,,,,,,
2023,2,منطقة الجوف,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متناهية الصغر,1.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,,,,
2023,2,منطقة الرياض,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متناهية الصغر,167.0,229.0,151.0,78.0,145.0,138.0,7.0,,,,,,,,,,
2023,2,منطقة الرياض,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,صغيرة,167.0,2150.0,1304.0,846.0,867.0,812.0,55.0,,,,,,,,,,
2023,2,منطقة الرياض,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متوسطة,42.0,4383.0,2967.0,1416.0,885.0,825.0,60.0,,,,,,,,,,
2023,2,منطقة الرياض,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,كبيرة,11.0,23936.0,18854.0,5082.0,1297.0,1275.0,22.0,,,,,,,,,,
2023,2,منطقة القصيم,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متناهية الصغر,5.0,2.0,1.0,1.0,7.0,7.0,0.0,,,,,,,,,,
2023,2,منطقة القصيم,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,صغيرة,1.0,15.0,10.0,5.0,4.0,4.0,0.0,,,,,,,,,,
2023,2,منطقة المدينة المنورة,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متناهية الصغر,10.0,27.0,25.0,2.0,4.0,4.0,0.0,,,,,,,,,,
2023,2,منطقة المدينة المنورة,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,صغيرة,6.0,44.0,36.0,8.0,7.0,7.0,0.0,,,,,,,,,,
2023,2,منطقة تبوك,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متناهية الصغر,3.0,3.0,2.0,1.0,4.0,4.0,0.0,,,,,,,,,,
2023,2,منطقة تبوك,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,صغيرة,1.0,4.0,4.0,0.0,2.0,2.0,0.0,,,,,,,,,,
2023,2,منطقة جازان,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,صغيرة,1.0,4.0,4.0,0.0,8.0,8.0,0.0,,,,,,,,,,
2023,2,منطقة حائل,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متناهية الصغر,1.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,,,,
2023,2,منطقة عسير,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متناهية الصغر,5.0,3.0,2.0,1.0,6.0,6.0,0.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,متناهية الصغر,77.0,124.0,95.0,29.0,85.0,83.0,2.0,,,,,,,,,,
